DateTime,Entries,UniqueIPs
1498146303,29850,29850
1498147203,29785,29785
1498148104,29829,29829
1498149003,29803,29803
1498149903,29717,29717
1498150804,29682,29682
1498151704,29650,29650
1498152603,29527,29527
1498153503,29382,29382
1498154404,29308,29308
1498155303,29102,29102
1498156204,29027,29027
1498157103,28913,28913
1498158004,28830,28830
1498158904,28712,28712
1498159804,28665,28665
1498160704,28587,28587
1498161603,28475,28475
1498162503,28395,28395
1498163403,27460,27460
1498164303,26999,26999
1498165204,26642,26642
1498166103,26412,26412
1498167003,26132,26132
1498167903,25804,25804
1498168804,25486,25486
1498169703,25229,25229
1498170603,25054,25054
1498171503,24672,24672
1498172403,24406,24406
1498173304,24218,24218
1498174203,23924,23924
1498175103,23707,23707
1498176003,23500,23500
1498176902,22780,22780
1498177803,22477,22477
1498178703,22460,22460
1498179602,22438,22438
1498180503,22093,22093
1498181402,21755,21755
1498182303,21456,21456
1498183203,21168,21168
1498184103,21670,21670
1498185003,21158,21158
1498185902,21163,21163
1498186803,21306,21306
1498187703,20729,20729
1498188603,20509,20509
1498189503,20337,20337
1498190403,20202,20202
1498191303,20300,20300
1498192203,20392,20392
1498193103,20388,20388
1498194003,20442,20442
1498194903,20439,20439
1498195802,20476,20476
1498196704,20547,20547
1498197603,20547,20547
1498198502,20636,20636
1498199403,20718,20718
1498200303,20854,20854
1498201203,21014,21014
1498202103,21010,21010
1498203003,21056,21056
1498203903,21016,21016
1498204803,21030,21030
1498205703,21760,21760
1498206603,24163,24163
1498207504,27046,27046
1498208403,29044,29044
1498209303,30228,30228
1498210203,30331,30331
1498211104,30468,30468
1498212003,30637,30637
1498212903,30719,30719
1498213804,30816,30816
1498214704,30736,30736
1498215603,30975,30975
1498216504,31329,31329
1498217403,31799,31799
1498218304,32297,32297
1498219204,32672,32672
1498220103,33159,33159
1498221003,33610,33610
1498221904,33732,33732
1498222803,33781,33781
1498223703,33813,33813
1498224603,33873,33873
1498225503,33963,33963
1498226403,33890,33890
1498227303,33671,33671
1498228203,33625,33625
1498229104,36649,36649
1498230004,37459,37459
1498230904,37414,37414
1498231804,37321,37321
1498232704,37163,37163
1498233604,37083,37083
1498234503,36946,36946
1498235404,36872,36872
1498236303,36728,36728
1498237203,36634,36634
1498238103,36489,36489
1498239003,36272,36272
1498239904,36043,36043
1498240803,35821,35821
1498241703,35490,35490
1498242603,35191,35191
1498243503,34951,34951
1498244404,34730,34730
1498245304,34675,34675
1498246204,34579,34579
1498247103,34378,34378
1498248003,34157,34157
1498248904,33935,33935
1498249803,33799,33799
1498250704,33712,33712
1498251604,33609,33609
1498252503,33499,33499
1498253404,33329,33329
1498254303,33166,33166
1498255204,33043,33043
1498256103,32888,32888
1498257004,32679,32679
1498257904,32435,32435
1498258803,32272,32272
1498259703,32092,32092
1498260604,31960,31960
1498261504,31817,31817
1498262404,31685,31685
1498263304,31548,31548
1498264203,31411,31411
1498265104,31301,31301
1498266004,31174,31174
1498266904,31061,31061
1498267804,30930,30930
1498268703,30774,30774
1498269603,30684,30684
1498270504,30577,30577
1498271404,30462,30462
1498272305,30353,30353
1498273203,30227,30227
1498274103,24212,24212
1498275003,23678,23678
1498275903,23086,23086
1498276803,22665,22665
1498277703,22383,22383
1498278602,22091,22091
1498279503,21862,21862
1498280403,21822,21822
1498281302,21842,21842
1498282203,21915,21915
1498283103,22105,22105
1498284003,22211,22211
1498284903,22259,22259
1498285803,22263,22263
1498286703,22434,22434
1498287602,22400,22400
1498288503,22273,22273
1498289403,22303,22303
1498290303,21103,21103
1498291203,20906,20906
1498292103,21035,21035
1498293003,21187,21187
1498293903,21366,21366
1498294803,21380,21380
1498295702,21458,21458
1498296603,21335,21335
1498297502,21441,21441
1498298403,21547,21547
1498299303,21924,21924
1498300204,22049,22049
1498301102,22270,22270
1498302002,22455,22455
1498302903,22637,22637
1498303803,22714,22714
1498304703,22789,22789
1498305603,22857,22857
1498306503,22923,22923
1498307402,22923,22923
1498308303,23020,23020
1498309203,22938,22938
1498310103,23102,23102
1498311003,23189,23189
1498311903,23292,23292
1498312803,23411,23411
1498313703,23478,23478
1498314602,23609,23609
1498315502,23802,23802
1498316403,23889,23889
1498317303,23842,23842
1498318203,23717,23717
1498319104,23617,23617
1498320004,23524,23524
1498320903,23190,23190
1498321804,23529,23529
1498322703,23534,23534
1498323604,23382,23382
1498324502,23273,23273
1498325402,23063,23063
1498326303,22868,22868
1498327202,22647,22647
1498328103,22511,22511
1498329003,22271,22271
1498329903,22162,22162
1498330803,21945,21945
1498331703,21831,21831
1498332603,21615,21615
1498333502,21461,21461
1498334403,21356,21356
1498335303,21225,21225
1498336203,21098,21098
1498337103,20963,20963
1498338002,20890,20890
1498338902,20728,20728
1498339802,20490,20490
1498340702,20425,20425
1498341603,20215,20215
1498342503,21277,21277
1498343402,21310,21310
1498344302,21427,21427
1498345203,21334,21334
1498346102,21306,21306
1498347003,21032,21032
